时间,确证数,死亡数
2020/3/25,381,1
2020/3/26,517,1
2020/3/27,587,4
2020/3/28,694,4
2020/3/29,825,10
2020/3/30,899,10
2020/3/31,987,15
2020/4/1,1060,27
2020/4/2,1233,27
2020/4/3,1495,38
2020/4/4,1614,44
2020/4/5,1765,45
2020/4/6,1952,49
2020/4/7,2169,64
2020/4/8,2328,66
2020/4/9,2703,70
2020/4/10,2947,80
2020/4/11,3217,92
2020/4/12,3563,93
2020/4/13,3734,99
2020/4/14,3953,114
2020/4/15,4075,118
2020/4/16,4345,133
2020/4/17,4571,148
2020/4/18,4712,153
2020/4/19,4888,157
2020/4/20,5079,163
2020/4/21,5317,183
2020/4/22,5593,196
2020/4/23,5832,202
2020/4/24,6026,209
2020/4/25,6026,209
2020/4/26,6421,219
