时间,确证数,死亡数
2020/3/21,104,1
2020/3/22,152,2
2020/3/23,235,2
2020/3/24,326,3
2020/3/25,401,4
2020/3/26,508,4
2020/3/27,665,11
2020/3/28,773,11
2020/3/29,919,11
2020/3/30,1157,11
2020/3/31,1289,12
2020/4/1,1413,14
2020/4/2,1596,32
2020/4/3,1769,32
2020/4/4,2019,50
2020/4/5,2269,54
2020/4/6,2460,55
2020/4/7,2575,59
2020/4/8,2726,77
2020/4/9,3018,80
2020/4/10,3112,80
2020/4/11,3393,88
2020/4/12,3542,103
2020/4/13,3705,114
2020/4/14,3809,119
2020/4/15,3964,128
2020/4/16,4237,136
2020/4/17,4511,141
2020/4/18,4724,180
2020/4/19,4933,183
2020/4/20,5068,190
2020/4/21,5256,208
2020/4/22,5473,231
2020/4/23,5772,249
2020/4/24,6045,266
2020/4/25,6286,273
2020/4/26,6534,275
