时间,确证数,死亡数
2020/3/24,206,1
2020/3/25,260,1
2020/3/26,311,1
2020/3/27,346,1
2020/3/28,377,1
2020/3/29,395,1
2020/3/30,424,5
2020/3/31,489,5
2020/4/1,540,6
2020/4/2,600,6
2020/4/3,657,6
2020/4/4,690,6
2020/4/5,780,6
2020/4/6,808,6
2020/4/7,902,6
2020/4/8,956,6
2020/4/9,1106,21
2020/4/10,1150,21
2020/4/11,1209,25
2020/4/12,1255,27
2020/4/13,1374,29
2020/4/14,1453,32
2020/4/15,1521,33
2020/4/16,1576,37
2020/4/17,1652,37
2020/4/18,1702,38
2020/4/19,1735,39
2020/4/20,1928,41
2020/4/21,1945,42
2020/4/22,2181,42
2020/4/23,2472,45
2020/4/24,2628,47
2020/4/25,2709,48
2020/4/26,2785,51
