时间,确证数,死亡数
2020/3/4,35,1
2020/3/5,51,1
2020/3/6,59,1
2020/3/7,81,1
2020/3/8,95,1
2020/3/9,101,1
2020/3/10,144,2
2020/3/11,178,4
2020/3/12,221,4
2020/3/13,281,4
2020/3/14,371,3
2020/3/15,373,5
2020/3/16,557,7
2020/3/17,700,12
2020/3/18,828,16
2020/3/19,1005,18
2020/3/20,1243,24
2020/3/21,1405,25
2020/3/22,1646,30
2020/3/23,2108,39
2020/3/24,2538,50
2020/3/25,2998,65
2020/3/26,3899,81
2020/3/27,4645,94
2020/3/28,5095,110
2020/3/29,5852,123
2020/3/30,7138,146
2020/3/31,8210,173
2020/4/1,9399,198
2020/4/2,10773,238
2020/4/3,12004,263
2020/4/4,12837,289
2020/4/5,15034,348
2020/4/6,15976,380
2020/4/7,17309,432
2020/4/8,18730,493
2020/4/9,19706,542
2020/4/10,21077,583
2020/4/11,21702,604
2020/4/12,22787,640
2020/4/13,23931,714
2020/4/14,25356,767
2020/4/15,26686,860
2020/4/16,27677,956
2020/4/17,29157,1037
2020/4/18,30491,1140
2020/4/19,31431,1175
2020/4/20,33686,1223
2020/4/21,35465,1280
2020/4/22,37344,1419
2020/4/23,39561,1531
2020/4/24,41355,1619
2020/4/25,42368,1687
2020/4/26,43558,1723
