时间,确证数,死亡数
2020/3/13,74,1
2020/3/14,99,0
2020/3/15,99,1
2020/3/16,132,1
2020/3/17,167,2
2020/3/18,218,2
2020/3/19,220,4
2020/3/20,343,4
2020/3/21,474,6
2020/3/22,590,6
2020/3/23,703,7
2020/3/24,718,8
2020/3/25,1003,16
2020/3/26,1328,19
2020/3/27,1331,19
2020/3/28,1604,30
2020/3/29,2121,46
2020/3/30,2125,46
2020/3/31,2837,68
2020/4/1,2853,68
2020/4/2,3214,75
2020/4/3,3598,96
2020/4/4,4030,110
2020/4/5,4699,139
2020/4/6,4907,149
2020/4/7,5177,149
2020/4/8,5417,191
2020/4/9,5417,191
2020/4/10,5967,191
2020/4/11,6368,248
2020/4/12,7151,289
2020/4/13,7546,306
2020/4/14,7831,327
2020/4/15,7837,328
2020/4/16,8175,354
2020/4/17,8595,371
2020/4/18,8980,388
2020/4/19,9616,419
2020/4/20,9616,419
2020/4/21,10347,482
2020/4/22,10796,505
2020/4/23,11170,549
2020/4/24,12153,670
2020/4/25,12837,680
2020/4/26,13269,684
