时间,确证数,死亡数
2020/3/18,96,1
2020/3/19,157,3
2020/3/20,194,4
2020/3/21,194,4
2020/3/22,327,8
2020/3/23,415,10
2020/3/24,618,12
2020/3/25,875,19
2020/3/26,1012,21
2020/3/27,1291,27
2020/3/28,1524,33
2020/3/29,1993,34
2020/3/30,2395,36
2020/3/31,3051,67
2020/4/1,3372,83
2020/4/2,3650,111
2020/4/3,4696,130
2020/4/4,5035,164
2020/4/5,5453,188
2020/4/6,6642,206
2020/4/7,7489,274
2020/4/8,7489,274
2020/4/9,9392,378
2020/4/10,10131,444
2020/4/11,11054,489
2020/4/12,11534,550
2020/4/13,12890,598
2020/4/14,13456,667
2020/4/15,14218,866
2020/4/16,15350,969
2020/4/17,16314,1034
2020/4/18,17025,1083
2020/4/19,17433,1123
2020/4/20,19301,1327
2020/4/21,19857,1419
2020/4/22,21919,1540
2020/4/23,22578,1633
2020/4/24,23414,1761
2020/4/25,24061,1859
2020/4/26,24747,1924
