时间,确证数,死亡数
2020/3/26,130,1
2020/3/27,163,1
2020/3/28,214,5
2020/3/29,232,6
2020/3/30,264,6
2020/3/31,319,7
2020/4/1,368,11
2020/4/2,393,12
2020/4/3,450,12
2020/4/4,593,12
2020/4/5,673,12
2020/4/6,783,15
2020/4/7,928,16
2020/4/8,1116,16
2020/4/9,1209,16
2020/4/10,1317,16
2020/4/11,1466,33
2020/4/12,1625,33
2020/4/13,1758,41
2020/4/14,1915,43
2020/4/15,1997,43
2020/4/16,2053,52
2020/4/17,2295,61
2020/4/18,2508,67
2020/4/19,2508,67
2020/4/20,2714,72
2020/4/21,2901,82
2020/4/22,3172,89
2020/4/23,3305,92
2020/4/24,3438,100
2020/4/25,3573,112
2020/4/26,4025,120
