时间,确证数,死亡数
2020/3/20,71,1
2020/3/21,98,0
2020/3/22,102,2
2020/3/23,120,2
2020/3/24,141,2
2020/3/25,187,2
2020/3/26,231,3
2020/3/27,271,3
2020/3/28,304,4
2020/3/29,342,5
2020/3/30,401,9
2020/3/31,495,9
2020/4/1,586,9
2020/4/2,653,12
2020/4/3,757,15
2020/4/4,902,21
2020/4/5,1002,22
2020/4/6,1097,24
2020/4/7,1211,22
2020/4/8,1440,27
2020/4/9,1523,32
2020/4/10,1660,38
2020/4/11,1778,47
2020/4/12,1875,50
2020/4/13,1955,52
2020/4/14,2058,67
2020/4/15,2197,72
2020/4/16,2350,81
2020/4/17,2476,86
2020/4/18,2666,91
2020/4/19,2793,96
2020/4/20,2927,105
2020/4/21,3098,112
2020/4/22,3206,127
2020/4/23,3361,139
2020/4/24,3528,153
2020/4/25,3699,165
2020/4/26,3841,178
