时间,确证数,死亡数
2020/3/8,10,2
2020/3/9,13,2
2020/3/10,15,2
2020/3/11,24,2
2020/3/12,30,2
2020/3/13,45,2
2020/3/14,64,2
2020/3/15,100,3
2020/3/16,101,3
2020/3/17,190,5
2020/3/18,306,7
2020/3/19,432,9
2020/3/20,564,9
2020/3/21,762,13
2020/3/22,1003,13
2020/3/23,1227,17
2020/3/24,1412,17
2020/3/25,1682,23
2020/3/26,2357,29
2020/3/27,2900,35
2020/3/28,3763,46
2020/3/29,4246,54
2020/3/30,5472,59
2020/3/31,6739,85
2020/4/1,6953,85
2020/4/2,8999,144
2020/4/3,10258,163
2020/4/4,11536,194
2020/4/5,12346,221
2020/4/6,13317,235
2020/4/7,14543,254
2020/4/8,15453,309
2020/4/9,16362,354
2020/4/10,17529,390
2020/4/11,18492,438
2020/4/12,19893,461
2020/4/13,21017,499
2020/4/14,21625,524
2020/4/15,22506,596
2020/4/16,23337,668
2020/4/17,24755,725
2020/4/18,25489,748
2020/4/19,26311,774
2020/4/20,27056,822
2020/4/21,27865,867
2020/4/22,28309,893
2020/4/23,29648,987
2020/4/24,30533,1046
2020/4/25,30838,1055
2020/4/26,31531,1075
