时间,确证数,死亡数
2020/3/12,31,1
2020/3/13,42,1
2020/3/14,73,1
2020/3/15,99,1
2020/3/16,121,1
2020/3/17,146,1
2020/3/18,197,3
2020/3/19,282,3
2020/3/20,457,10
2020/3/21,518,14
2020/3/22,585,15
2020/3/23,727,15
2020/3/24,945,15
2020/3/25,1101,16
2020/3/26,1359,16
2020/3/27,1783,22
2020/3/28,2136,67
2020/3/29,2389,78
2020/3/30,2644,86
2020/3/31,3764,110
2020/4/1,4122,137
2020/4/2,4570,162
2020/4/3,5324,180
2020/4/4,5915,197
2020/4/5,6369,206
2020/4/6,6994,224
2020/4/7,8333,322
2020/4/8,9044,356
2020/4/9,9546,371
2020/4/10,10239,411
2020/4/11,10762,425
2020/4/12,11234,429
2020/4/13,12096,464
2020/4/14,13626,518
2020/4/15,14041,545
2020/4/16,14818,587
2020/4/17,16159,643
2020/4/18,16634,666
2020/4/19,17179,680
2020/4/20,18160,766
2020/4/21,18441,791
2020/4/22,19544,839
2020/4/23,20544,871
2020/4/24,21128,889
2020/4/25,21623,896
2020/4/26,21842,907
