时间,确证数,死亡数
2020/3/24,70,1
2020/3/25,70,0
2020/3/26,87,0
2020/3/27,100,0
2020/3/28,145,0
2020/3/29,145,0
2020/3/30,167,0
2020/3/31,191,0
2020/4/1,209,0
2020/4/2,238,1
2020/4/3,306,3
2020/4/4,341,3
2020/4/5,362,4
2020/4/6,376,5
2020/4/7,401,5
2020/4/8,401,5
2020/4/9,437,5
2020/4/10,437,5
2020/4/11,459,8
2020/4/12,494,9
2020/4/13,499,9
2020/4/14,508,9
2020/4/15,523,9
2020/4/16,523,9
2020/4/17,530,9
2020/4/18,568,9
2020/4/19,574,10
2020/4/20,578,10
2020/4/21,580,10
2020/4/22,586,12
2020/4/23,590,12
2020/4/24,595,13
2020/4/25,598,13
2020/4/26,599,14
