时间,确证数,死亡数
2020/3/26,146,3
2020/3/27,205,3
2020/3/28,234,4
2020/3/29,281,5
2020/3/30,340,6
2020/3/31,515,8
2020/4/1,566,9
2020/4/2,767,9
2020/4/3,891,9
2020/4/4,1022,10
2020/4/5,1078,10
2020/4/6,1101,10
2020/4/7,1170,13
2020/4/8,1210,15
2020/4/9,1232,18
2020/4/10,1354,24
2020/4/11,1396,25
2020/4/12,1407,27
2020/4/13,1426,27
2020/4/14,1464,33
2020/4/15,1473,39
2020/4/16,1587,41
2020/4/17,1609,41
2020/4/18,1655,43
2020/4/19,1668,44
2020/4/20,1672,45
2020/4/21,1736,48
2020/4/22,1766,51
2020/4/23,1836,54
2020/4/24,1870,54
2020/4/25,1887,56
2020/4/26,1897,56
