时间,确证数,死亡数
2020/3/17,161,1
2020/3/18,272,1
2020/3/19,416,4
2020/3/20,418,4
2020/3/21,750,5
2020/3/22,1047,6
2020/3/23,1222,12
2020/3/24,1537,12
2020/3/25,1863,19
2020/3/26,1870,26
2020/3/27,3024,34
2020/3/28,3483,47
2020/3/29,4588,66
2020/3/30,5043,73
2020/3/31,5976,99
2020/4/1,6952,141
2020/4/2,7658,163
2020/4/3,8489,209
2020/4/4,10299,243
2020/4/5,11197,274
2020/4/6,12190,306
2020/4/7,13488,379
2020/4/8,15005,461
2020/4/9,16354,527
2020/4/10,17806,596
2020/4/11,19095,677
2020/4/12,20751,719
2020/4/13,21960,797
2020/4/14,23194,867
2020/4/15,24548,948
2020/4/16,25679,1071
2020/4/17,27504,1131
2020/4/18,29076,1256
2020/4/19,30242,1287
2020/4/20,31383,1346
2020/4/21,32867,1466
2020/4/22,34879,1564
2020/4/23,36744,1688
2020/4/24,39440,1794
2020/4/25,41503,1874
2020/4/26,43596,1933
