时间,确证数,死亡数
2020/3/16,25,1
2020/3/17,30,2
2020/3/18,38,2
2020/3/19,60,2
2020/3/20,86,3
2020/3/21,128,4
2020/3/22,204,6
2020/3/23,214,7
2020/3/24,368,12
2020/3/25,477,14
2020/3/26,645,17
2020/3/27,979,25
2020/3/28,1233,31
2020/3/29,1513,32
2020/3/30,1786,35
2020/3/31,2158,49
2020/4/1,2564,65
2020/4/2,3038,78
2020/4/3,3437,102
2020/4/4,3953,116
2020/4/5,4411,127
2020/4/6,4936,131
2020/4/7,5510,173
2020/4/8,5943,203
2020/4/9,6351,245
2020/4/10,6907,300
2020/4/11,7435,330
2020/4/12,7928,343
2020/4/13,8359,350
2020/4/14,8527,387
2020/4/15,8960,436
2020/4/16,9542,476
2020/4/17,10154,522
2020/4/18,10641,545
2020/4/19,11211,562
2020/4/20,11688,577
2020/4/21,12097,635
2020/4/22,12438,666
2020/4/23,13039,706
2020/4/24,13681,741
2020/4/25,14399,786
2020/4/26,15012,813
