时间,确证数,死亡数
2020/3/25,146,1
2020/3/26,179,1
2020/3/27,235,3
2020/3/28,298,3
2020/3/29,336,4
2020/3/30,424,6
2020/3/31,495,6
2020/4/1,547,8
2020/4/2,614,10
2020/4/3,699,10
2020/4/4,787,11
2020/4/5,869,18
2020/4/6,946,25
2020/4/7,1046,24
2020/4/8,1145,26
2020/4/9,1270,26
2020/4/10,1388,28
2020/4/11,1510,28
2020/4/12,1587,35
2020/4/13,1710,38
2020/4/14,1899,43
2020/4/15,1995,53
2020/4/16,2141,60
2020/4/17,2331,64
2020/4/18,2512,74
2020/4/19,2895,75
2020/4/20,3157,79
2020/4/21,3620,83
2020/4/22,3744,90
2020/4/23,3921,96
2020/4/24,4441,107
2020/4/25,5087,112
2020/4/26,5470,118
