时间,确证数,死亡数
2020/3/13,6,1
2020/3/14,8,1
2020/3/15,8,1
2020/3/16,11,1
2020/3/17,18,1
2020/3/18,22,1
2020/3/19,35,1
2020/3/20,48,1
2020/3/21,57,2
2020/3/22,65,2
2020/3/23,84,2
2020/3/24,100,2
2020/3/25,134,3
2020/3/26,172,3
2020/3/27,206,4
2020/3/28,266,4
2020/3/29,330,7
2020/3/30,372,8
2020/3/31,434,9
2020/4/1,485,10
2020/4/2,553,12
2020/4/3,629,18
2020/4/4,698,18
2020/4/5,751,18
2020/4/6,849,20
2020/4/7,912,29
2020/4/8,1046,34
2020/4/9,1116,34
2020/4/10,1117,34
2020/4/11,1275,44
2020/4/12,1344,52
2020/4/13,1390,57
2020/4/14,1441,67
2020/4/15,1504,71
2020/4/16,1615,80
2020/4/17,1730,82
2020/4/18,1821,85
2020/4/19,1905,93
2020/4/20,2048,102
2020/4/21,2164,109
2020/4/22,2331,112
2020/4/23,2721,113
2020/4/24,2959,118
2020/4/25,3135,120
2020/4/26,3277,121
