时间,确证数,死亡数
2020/3/16,21,1
2020/3/17,26,1
2020/3/18,28,1
2020/3/19,31,2
2020/3/20,64,2
2020/3/21,64,3
2020/3/22,64,3
2020/3/23,108,4
2020/3/24,116,4
2020/3/25,143,5
2020/3/26,143,5
2020/3/27,143,7
2020/3/28,230,9
2020/3/29,369,9
2020/3/30,426,9
2020/3/31,614,9
2020/4/1,614,15
2020/4/2,657,17
2020/4/3,657,31
2020/4/4,888,34
2020/4/5,921,45
2020/4/6,921,45
2020/4/7,997,60
2020/4/8,997,60
2020/4/9,1265,68
2020/4/10,1308,69
2020/4/11,1308,69
2020/4/12,1851,69
2020/4/13,1906,85
2020/4/14,2025,106
2020/4/15,2132,106
2020/4/16,2358,129
2020/4/17,2435,136
2020/4/18,2634,138
2020/4/19,2881,140
2020/4/20,2977,154
2020/4/21,3131,171
2020/4/22,3306,185
2020/4/23,3412,191
2020/4/24,3721,200
2020/4/25,3857,205
2020/4/26,4027,208
