时间,确证数,死亡数
2020/3/14,73,1
2020/3/15,87,2
2020/3/16,115,3
2020/3/17,196,4
2020/3/18,257,6
2020/3/19,344,10
2020/3/20,530,14
2020/3/21,754,20
2020/3/22,787,20
2020/3/23,1161,35
2020/3/24,1376,45
2020/3/25,1784,64
2020/3/26,2291,82
2020/3/27,2728,118
2020/3/28,3306,136
2020/3/29,3532,151
2020/3/30,4011,185
2020/3/31,5215,235
2020/4/1,6396,273
2020/4/2,9111,309
2020/4/3,10257,366
2020/4/4,12465,409
2020/4/5,12979,473
2020/4/6,14819,509
2020/4/7,16235,580
2020/4/8,16981,650
2020/4/9,18232,700
2020/4/10,19199,753
2020/4/11,19960,803
2020/4/12,20541,837
2020/4/13,20960,884
2020/4/14,21462,1013
2020/4/15,21895,1102
2020/4/16,22476,1155
2020/4/17,23062,1212
2020/4/18,23523,1266
2020/4/19,23870,1295
2020/4/20,24464,1327
2020/4/21,24795,1403
2020/4/22,25198,1472
2020/4/23,25677,1540
2020/4/24,26077,1601
2020/4/25,26449,1644
2020/4/26,26709,1670
