时间,确证数,死亡数
2020/3/27,165,1
2020/3/28,208,1
2020/3/29,248,3
2020/3/30,270,3
2020/3/31,297,5
2020/4/1,297,5
2020/4/2,368,7
2020/4/3,421,7
2020/4/4,444,7
2020/4/5,459,7
2020/4/6,488,7
2020/4/7,510,12
2020/4/8,529,14
2020/4/9,556,16
2020/4/10,583,17
2020/4/11,613,19
2020/4/12,630,19
2020/4/13,693,19
2020/4/14,733,20
2020/4/15,768,24
2020/4/16,794,27
2020/4/17,826,29
2020/4/18,846,32
2020/4/19,865,34
2020/4/20,874,35
2020/4/21,887,36
2020/4/22,905,39
2020/4/23,937,44
2020/4/24,965,47
2020/4/25,965,47
2020/4/26,1013,50
