时间,确证数,死亡数
2020/3/19,107,1
2020/3/20,149,2
2020/3/21,193,2
2020/3/22,244,3
2020/3/23,290,3
2020/3/24,349,4
2020/3/25,425,4
2020/3/26,583,4
2020/3/27,775,4
2020/3/28,995,4
2020/3/29,1239,9
2020/3/30,1413,14
2020/3/31,1660,18
2020/4/1,1986,19
2020/4/2,2331,36
2020/4/3,2758,43
2020/4/4,3125,54
2020/4/5,3617,67
2020/4/6,4045,91
2020/4/7,4371,103
2020/4/8,5529,124
2020/4/9,6185,138
2020/4/10,6968,171
2020/4/11,7694,206
2020/4/12,8225,236
2020/4/13,8936,262
2020/4/14,9472,302
2020/4/15,10032,311
2020/4/16,10784,319
2020/4/17,11572,334
2020/4/18,12326,421
2020/4/19,12847,461
2020/4/20,13684,490
2020/4/21,14193,532
2020/4/22,14775,590
2020/4/23,15737,642
2020/4/24,16616,687
2020/4/25,17766,751
2020/4/26,18581,765
