时间,确证数,死亡数
2020/3/20,394,1
2020/3/21,502,1
2020/3/22,615,2
2020/3/23,723,2
2020/3/24,1072,2
2020/3/25,1676,6
2020/3/26,2147,16
2020/3/27,2933,26
2020/3/28,3893,35
2020/3/29,4487,39
2020/3/30,5255,47
2020/3/31,6279,80
2020/4/1,7476,113
2020/4/2,8684,145
2020/4/3,10173,183
2020/4/4,11446,207
2020/4/5,12268,222
2020/4/6,13574,249
2020/4/7,14955,344
2020/4/8,16550,419
2020/4/9,18720,419
2020/4/10,20824,419
2020/4/11,22614,672
2020/4/12,25081,743
2020/4/13,26399,743
2020/4/14,27637,743
2020/4/15,29326,1093
2020/4/16,31522,1093
2020/4/17,33621,1228
2020/4/18,35616,1384
2020/4/19,37239,1685
2020/4/20,37239,1685
2020/4/21,40247,1952
2020/4/22,42067,1952
2020/4/23,45263,1952
2020/4/24,50154,1952
2020/4/25,52571,2716
2020/4/26,54106,2757
