时间,确证数,死亡数
2020/3/18,119,1
2020/3/19,249,1
2020/3/20,402,1
2020/3/21,540,3
2020/3/22,1035,9
2020/3/23,1325,15
2020/3/24,1787,24
2020/3/25,2289,43
2020/3/26,2838,61
2020/3/27,3626,92
2020/3/28,4588,111
2020/3/29,5393,132
2020/3/30,6403,184
2020/3/31,7502,259
2020/4/1,9131,334
2020/4/2,10565,416
2020/4/3,12455,477
2020/4/4,13890,538
2020/4/5,15286,615
2020/4/6,16759,725
2020/4/7,18443,841
2020/4/8,19856,955
2020/4/9,21005,1070
2020/4/10,22213,1273
2020/4/11,23379,1376
2020/4/12,24014,1466
2020/4/13,25018,1589
2020/4/14,26301,1753
2020/4/15,27309,1902
2020/4/16,28059,1977
2020/4/17,29348,2206
2020/4/18,30074,2286
2020/4/19,30712,2368
2020/4/20,31287,2443
2020/4/21,31898,2549
2020/4/22,33214,2787
2020/4/23,34428,2949
2020/4/24,35577,3055
2020/4/25,35946,3122
2020/4/26,36636,3280
