时间,确证数,死亡数
2020/3/21,134,1
2020/3/22,167,1
2020/3/23,233,1
2020/3/24,261,1
2020/3/25,286,1
2020/3/26,344,2
2020/3/27,396,2
2020/3/28,441,5
2020/3/29,503,5
2020/3/30,576,9
2020/3/31,629,9
2020/4/1,689,9
2020/4/2,742,10
2020/4/3,788,11
2020/4/4,863,19
2020/4/5,928,26
2020/4/6,980,30
2020/4/7,1063,34
2020/4/8,1150,39
2020/4/9,1238,50
2020/4/10,1335,57
2020/4/11,1423,63
2020/4/12,1616,70
2020/4/13,1616,70
2020/4/14,1660,79
2020/4/15,1807,87
2020/4/16,1807,87
2020/4/17,2070,111
2020/4/18,2209,121
2020/4/19,2352,134
2020/4/20,2466,143
2020/4/21,2563,160
2020/4/22,2718,179
2020/4/23,2939,200
2020/4/24,3179,221
2020/4/25,3441,244
2020/4/26,3593,272
