时间,确证数,死亡数
2020/3/19,50,1
2020/3/20,80,1
2020/3/21,98,1
2020/3/22,207,1
2020/3/23,249,1
2020/3/24,320,1
2020/3/25,377,3
2020/3/26,485,6
2020/3/27,579,8
2020/3/28,663,13
2020/3/29,759,14
2020/3/30,758,14
2020/3/31,937,20
2020/4/1,1073,22
2020/4/2,1177,26
2020/4/3,1358,29
2020/4/4,1455,35
2020/4/5,1638,43
2020/4/6,1738,51
2020/4/7,1915,60
2020/4/8,2003,67
2020/4/9,2260,76
2020/4/10,2469,82
2020/4/11,2642,93
2020/4/12,2781,96
2020/4/13,2942,98
2020/4/14,3087,111
2020/4/15,3360,122
2020/4/16,3624,129
2020/4/17,3793,140
2020/4/18,3974,152
2020/4/19,4274,159
2020/4/20,4512,169
2020/4/21,4716,183
2020/4/22,4894,193
2020/4/23,5153,201
2020/4/24,5434,209
2020/4/25,5718,221
2020/4/26,5911,227
