时间,确证数,死亡数
2020/3/18,18,1
2020/3/19,31,1
2020/3/20,54,3
2020/3/21,69,3
2020/3/22,87,3
2020/3/23,166,4
2020/3/24,230,7
2020/3/25,311,8
2020/3/26,456,9
2020/3/27,588,9
2020/3/28,742,10
2020/3/29,813,13
2020/3/30,951,13
2020/3/31,1238,15
2020/4/1,1485,18
2020/4/2,1718,22
2020/4/3,1725,23
2020/4/4,2135,31
2020/4/5,2172,42
2020/4/6,2523,46
2020/4/7,2895,59
2020/4/8,2974,76
2020/4/9,3183,85
2020/4/10,3597,91
2020/4/11,3808,108
2020/4/12,3961,109
2020/4/13,4186,115
2020/4/14,4399,137
2020/4/15,4440,141
2020/4/16,4788,157
2020/4/17,4970,171
2020/4/18,5167,184
2020/4/19,5325,186
2020/4/20,5470,187
2020/4/21,5628,211
2020/4/22,5829,225
2020/4/23,6044,238
2020/4/24,6312,257
2020/4/25,6448,266
2020/4/26,6626,268
