时间,确证数,死亡数
2020/3/28,96,2
2020/3/29,104,2
2020/3/30,143,2
2020/3/31,169,3
2020/4/1,207,4
2020/4/2,244,4
2020/4/3,278,5
2020/4/4,320,5
2020/4/5,363,7
2020/4/6,416,9
2020/4/7,446,9
2020/4/8,519,11
2020/4/9,568,12
2020/4/10,635,13
2020/4/11,699,15
2020/4/12,768,15
2020/4/13,791,15
2020/4/14,879,15
2020/4/15,882,15
2020/4/16,929,15
2020/4/17,974,15
2020/4/18,1189,15
2020/4/19,1434,18
2020/4/20,1611,18
2020/4/21,1685,18
2020/4/22,1801,18
2020/4/23,2195,38
2020/4/24,2424,38
2020/4/25,2719,38
2020/4/26,3020,38
