时间,确证数,死亡数
2020/3/16,45,1
2020/3/17,55,1
2020/3/18,55,1
2020/3/19,84,1
2020/3/20,143,2
2020/3/21,151,2
2020/3/22,154,2
2020/3/23,156,4
2020/3/24,263,4
2020/3/25,308,6
2020/3/26,416,6
2020/3/27,520,10
2020/3/28,533,10
2020/3/29,651,15
2020/3/30,880,15
2020/3/31,1012,26
2020/4/1,1131,31
2020/4/2,1315,38
2020/4/3,1498,43
2020/4/4,1708,46
2020/4/5,1830,46
2020/4/6,1920,46
2020/4/7,2091,60
2020/4/8,2259,72
2020/4/9,2399,80
2020/4/10,2576,86
2020/4/11,2606,86
2020/4/12,2813,112
2020/4/13,2990,114
2020/4/14,3134,120
2020/4/15,3206,131
2020/4/16,3212,131
2020/4/17,3426,141
2020/4/18,3592,151
2020/4/19,3708,158
2020/4/20,3794,159
2020/4/21,3903,163
2020/4/22,4075,172
2020/4/23,4204,190
2020/4/24,4333,195
2020/4/25,4523,205
2020/4/26,4639,205
