时间,确证数,死亡数
2020/3/23,78,1
2020/3/24,101,1
2020/3/25,108,1
2020/3/26,137,1
2020/3/27,154,1
2020/3/28,187,2
2020/3/29,214,2
2020/3/30,258,3
2020/3/31,357,3
2020/4/1,367,3
2020/4/2,479,1
2020/4/3,479,3
2020/4/4,540,3
2020/4/5,617,3
2020/4/6,714,3
2020/4/7,714,3
2020/4/8,746,3
2020/4/9,787,3
2020/4/10,787,3
2020/4/11,885,3
2020/4/12,928,3
2020/4/13,984,3
2020/4/14,921,1
2020/4/15,1139,3
2020/4/16,1139,3
2020/4/17,1285,3
2020/4/18,1342,3
2020/4/19,1390,3
2020/4/20,1443,3
2020/4/21,1476,3
2020/4/22,1571,3
2020/4/23,1659,3
2020/4/24,1717,3
2020/4/25,1788,3
2020/4/26,1859,3
