时间,确证数,死亡数
2020/3/10,15,1
2020/3/11,23,1
2020/3/12,29,1
2020/3/13,49,1
2020/3/14,69,1
2020/3/15,72,2
2020/3/16,176,2
2020/3/17,250,3
2020/3/18,397,5
2020/3/19,633,5
2020/3/20,798,5
2020/3/21,1187,16
2020/3/22,1693,16
2020/3/23,2425,18
2020/3/24,3030,18
2020/3/25,3472,18
2020/3/26,5398,18
2020/3/27,6841,26
2020/3/28,8646,54
2020/3/29,10366,105
2020/3/30,12789,107
2020/3/31,15010,20
2020/4/1,17743,355
2020/4/2,20724,533
2020/4/3,25087,642
2020/4/4,30189,832
2020/4/5,33684,904
2020/4/6,37569,989
2020/4/7,42209,1227
2020/4/8,46046,1500
2020/4/9,50031,1705
2020/4/10,53939,1930
2020/4/11,57227,2181
2020/4/12,60576,2348
2020/4/13,63381,2441
2020/4/14,67122,2803
2020/4/15,69841,3154
2020/4/16,74269,3515
2020/4/17,77748,3837
2020/4/18,80672,4068
2020/4/19,84716,4362
2020/4/20,88137,4496
2020/4/21,89314,4520
2020/4/22,94869,5150
2020/4/23,98917,5426
2020/4/24,101664,5683
2020/4/25,104966,5914
2020/4/26,108357,5938
