时间,确证数,死亡数
2020/3/25,113,1
2020/3/26,113,1
2020/3/27,136,1
2020/3/28,208,1
2020/3/29,237,2
2020/3/30,237,2
2020/3/31,315,4
2020/4/1,327,5
2020/4/2,372,6
2020/4/3,487,10
2020/4/4,504,11
2020/4/5,624,12
2020/4/6,686,12
2020/4/7,794,13
2020/4/8,821,13
2020/4/9,865,16
2020/4/10,1081,17
2020/4/11,1091,19
2020/4/12,1245,26
2020/4/13,1262,26
2020/4/14,1345,31
2020/4/15,1484,36
2020/4/16,1484,36
2020/4/17,1597,44
2020/4/18,1798,53
2020/4/19,1845,55
2020/4/20,1971,58
2020/4/21,1971,58
2020/4/22,2210,71
2020/4/23,2379,78
2020/4/24,2521,84
2020/4/25,2660,93
2020/4/26,2726,99
