时间,确证数,死亡数
2020/3/12,327,1
2020/3/13,421,2
2020/3/14,588,6
2020/3/15,615,12
2020/3/16,967,24
2020/3/17,1578,38
2020/3/18,3038,63
2020/3/19,5686,92
2020/3/20,7954,147
2020/3/21,11727,195
2020/3/22,15777,248
2020/3/23,20777,351
2020/3/24,25681,473
2020/3/25,30841,628
2020/3/26,37877,857
2020/3/27,44876,1124
2020/3/28,52410,1479
2020/3/29,59648,1857
2020/3/30,66663,2258
2020/3/31,75833,2739
2020/4/1,83948,3352
2020/4/2,92506,4055
2020/4/3,102987,4795
2020/4/4,113833,5564
2020/4/5,123160,6447
2020/4/6,131815,7500
2020/4/7,139875,8770
2020/4/8,151061,9682
2020/4/9,161779,10705
2020/4/10,172348,11605
2020/4/11,181026,12494
2020/4/12,189033,13402
2020/4/13,195749,14390
2020/4/14,203020,15261
2020/4/15,214454,16013
2020/4/16,223691,16729
2020/4/17,230597,17181
2020/4/18,237474,17701
2020/4/19,243382,18181
2020/4/20,248416,19128
2020/4/21,253519,19743
2020/4/22,258222,20203
2020/4/23,263460,20743
2020/4/24,271590,20955
2020/4/25,282143,22009
2020/4/26,288045,22269
