时间,确证数,死亡数
2020/3/25,590,1
2020/3/26,738,3
2020/3/27,887,4
2020/3/28,1020,5
2020/3/29,1191,7
2020/3/30,1313,6
2020/3/31,1535,12
2020/4/1,1675,14
2020/4/2,1977,21
2020/4/3,2251,27
2020/4/4,2486,34
2020/4/5,2649,38
2020/4/6,2962,45
2020/4/7,3299,51
2020/4/8,3499,66
2020/4/9,3736,76
2020/4/10,3965,83
2020/4/11,4354,89
2020/4/12,4570,89
2020/4/13,4886,94
2020/4/14,5113,112
2020/4/15,5340,130
2020/4/16,5639,150
2020/4/17,6045,177
2020/4/18,6328,187
2020/4/19,6598,200
2020/4/20,6895,218
2020/4/21,7134,245
2020/4/22,7495,265
2020/4/23,7820,281
2020/4/24,8290,294
2020/4/25,8767,305
2020/4/26,8996,324
