时间,确证数,死亡数
2020/3/20,173,3
2020/3/21,247,3
2020/3/22,356,3
2020/3/23,443,6
2020/3/24,567,8
2020/3/25,704,11
2020/3/26,868,15
2020/3/27,1137,19
2020/3/28,1406,25
2020/3/29,1653,29
2020/3/30,1933,40
2020/3/31,2199,55
2020/4/1,2547,65
2020/4/2,2901,81
2020/4/3,3312,91
2020/4/4,3739,102
2020/4/5,4043,119
2020/4/6,4453,142
2020/4/7,4782,167
2020/4/8,5148,193
2020/4/9,5512,213
2020/4/10,5878,213
2020/4/11,6250,247
2020/4/12,6602,253
2020/4/13,6975,274
2020/4/14,7285,324
2020/4/15,7794,362
2020/4/16,8414,391
2020/4/17,9107,418
2020/4/18,10222,451
2020/4/19,11602,471
2020/4/20,12919,509
2020/4/21,13725,557
2020/4/22,14117,610
2020/4/23,14694,656
2020/4/24,15169,690
2020/4/25,15587,711
2020/4/26,15972,728
