时间,确证数,死亡数
2020/3/19,44,1
2020/3/20,49,1
2020/3/21,53,1
2020/3/22,67,2
2020/3/23,81,2
2020/3/24,106,3
2020/3/25,164,5
2020/3/26,248,7
2020/3/27,322,8
2020/3/28,377,15
2020/3/29,429,16
2020/3/30,481,16
2020/3/31,566,23
2020/4/1,719,29
2020/4/2,879,34
2020/4/3,988,38
2020/4/4,1159,42
2020/4/5,1252,46
2020/4/6,1327,51
2020/4/7,1472,67
2020/4/8,1524,79
2020/4/9,1684,80
2020/4/10,1794,88
2020/4/11,1868,94
2020/4/12,1970,96
2020/4/13,2069,99
2020/4/14,2184,108
2020/4/15,2263,123
2020/4/16,2357,131
2020/4/17,2357,131
2020/4/18,2357,131
2020/4/19,2567,140
2020/4/20,2680,143
2020/4/21,2807,164
2020/4/22,2894,170
2020/4/23,3017,179
2020/4/24,3121,188
2020/4/25,3194,194
2020/4/26,3254,195
