时间,确证数,死亡数
2020/3/15,36,1
2020/3/16,39,1
2020/3/17,66,1
2020/3/18,75,3
2020/3/19,88,3
2020/3/20,114,3
2020/3/21,137,4
2020/3/22,161,5
2020/3/23,191,5
2020/3/24,210,8
2020/3/25,266,10
2020/3/26,316,11
2020/3/27,416,12
2020/3/28,479,13
2020/3/29,548,13
2020/3/30,606,16
2020/3/31,690,18
2020/4/1,736,19
2020/4/2,826,21
2020/4/3,899,22
2020/4/4,899,22
2020/4/5,1068,27
2020/4/6,1068,27
2020/4/7,1132,29
2020/4/8,1181,33
2020/4/9,1321,43
2020/4/10,1322,43
2020/4/11,1371,48
2020/4/12,1526,52
2020/4/13,1584,53
2020/4/14,1633,55
2020/4/15,1663,58
2020/4/16,1736,64
2020/4/17,1785,70
2020/4/18,1844,72
2020/4/19,1910,74
2020/4/20,1957,75
2020/4/21,2004,78
2020/4/22,2059,78
2020/4/23,2127,83
2020/4/24,2177,86
2020/4/25,2253,87
2020/4/26,2311,92
