时间,确证数,死亡数
2020/3/18,155,1
2020/3/19,206,1
2020/3/20,311,1
2020/3/21,399,2
2020/3/22,509,4
2020/3/23,698,6
2020/3/24,946,8
2020/3/25,1260,15
2020/3/26,1795,18
2020/3/27,2345,22
2020/3/28,2845,34
2020/3/29,3432,41
2020/3/30,4155,50
2020/3/31,4963,63
2020/4/1,6009,74
2020/4/2,7268,90
2020/4/3,8570,102
2020/4/4,10444,136
2020/4/5,11589,151
2020/4/6,13127,179
2020/4/7,14853,247
2020/4/8,16631,318
2020/4/9,18300,345
2020/4/10,20051,418
2020/4/11,21719,503
2020/4/12,22938,557
2020/4/13,24292,589
2020/4/14,25465,691
2020/4/15,26753,779
2020/4/16,28258,841
2020/4/17,29888,921
2020/4/18,31652,1042
2020/4/19,32902,1276
2020/4/20,33914,1348
2020/4/21,35249,1614
2020/4/22,36082,1673
2020/4/23,38379,1724
2020/4/24,40208,1747
2020/4/25,41153,1793
2020/4/26,42616,1816
