时间,确证数,死亡数
2020/3/16,30,1
2020/3/17,47,1
2020/3/18,60,1
2020/3/19,80,1
2020/3/20,126,3
2020/3/21,174,3
2020/3/22,196,3
2020/3/23,298,5
2020/3/24,342,5
2020/3/25,424,7
2020/3/26,424,9
2020/3/27,542,13
2020/3/28,660,15
2020/3/29,774,16
2020/3/30,925,18
2020/3/31,1083,22
2020/4/1,1293,26
2020/4/2,1554,31
2020/4/3,1700,34
2020/4/4,1917,40
2020/4/5,2049,44
2020/4/6,2232,48
2020/4/7,2417,51
2020/4/8,2417,51
2020/4/9,2793,67
2020/4/10,3067,72
2020/4/11,3211,80
2020/4/12,3320,82
2020/4/13,3391,82
2020/4/14,3553,97
2020/4/15,3656,106
2020/4/16,3931,111
2020/4/17,4099,116
2020/4/18,4248,119
2020/4/19,4377,120
2020/4/20,4446,123
2020/4/21,4439,124
2020/4/22,4761,140
2020/4/23,4917,150
2020/4/24,5070,157
2020/4/25,5253,166
2020/4/26,5498,174
