时间,确证数,死亡数
2020/3/11,8,1
2020/3/12,7,1
2020/3/13,8,1
2020/3/14,8,1
2020/3/15,8,1
2020/3/16,10,1
2020/3/17,11,1
2020/3/18,11,1
2020/3/19,14,1
2020/3/20,14,1
2020/3/21,14,1
2020/3/22,21,1
2020/3/23,28,1
2020/3/24,30,1
2020/3/25,41,1
2020/3/26,46,1
2020/3/27,58,1
2020/3/28,68,1
2020/3/29,90,1
2020/3/30,101,1
2020/3/31,108,1
2020/4/1,129,2
2020/4/2,165,2
2020/4/3,187,2
2020/4/4,212,2
2020/4/5,240,2
2020/4/6,288,4
2020/4/7,320,6
2020/4/8,393,6
2020/4/9,447,6
2020/4/10,536,6
2020/4/11,626,6
2020/4/12,730,6
2020/4/13,868,6
2020/4/14,988,6
2020/4/15,1168,6
2020/4/16,1311,7
2020/4/17,1411,7
2020/4/18,1542,7
2020/4/19,1635,7
2020/4/20,1685,7
2020/4/21,1755,8
2020/4/22,1858,9
2020/4/23,1956,9
2020/4/24,2040,10
2020/4/25,2147,10
2020/4/26,2212,11
