时间,确证数,死亡数
2020/3/20,180,1
2020/3/21,304,1
2020/3/22,393,2
2020/3/23,471,2
2020/3/24,639,2
2020/3/25,735,3
2020/3/26,868,3
2020/3/27,1005,3
2020/3/28,1202,3
2020/3/29,1380,4
2020/3/30,1570,10
2020/3/31,1894,12
2020/4/1,2248,13
2020/4/2,2764,35
2020/4/3,2826,40
2020/4/4,3041,49
2020/4/5,3282,52
2020/4/6,3443,64
2020/4/7,3790,71
2020/4/8,4050,80
2020/4/9,4321,93
2020/4/10,4594,97
2020/4/11,4837,105
2020/4/12,5220,105
2020/4/13,5304,108
2020/4/14,5431,123
2020/4/15,5431,123
2020/4/16,5726,135
2020/4/17,5804,140
2020/4/18,6293,141
2020/4/19,6708,147
2020/4/20,6908,151
2020/4/21,7093,156
2020/4/22,7093,156
2020/4/23,7959,170
2020/4/24,8449,168
2020/4/25,8834,176
2020/4/26,9298,179
