时间,确证数,死亡数
2020/3/17,110,1
2020/3/18,196,3
2020/3/19,303,5
2020/3/20,426,4
2020/3/21,539,5
2020/3/22,643,7
2020/3/23,758,9
2020/3/24,955,12
2020/3/25,1229,15
2020/3/26,1563,21
2020/3/27,1937,26
2020/3/28,2455,30
2020/3/29,2792,37
2020/3/30,3147,45
2020/3/31,3809,54
2020/4/1,4355,66
2020/4/2,5069,77
2020/4/3,5734,100
2020/4/4,6567,116
2020/4/5,7209,136
2020/4/6,8043,150
2020/4/7,8925,160
2020/4/8,9777,189
2020/4/9,11208,210
2020/4/10,12105,238
2020/4/11,13023,266
2020/4/12,13677,283
2020/4/13,14275,305
2020/4/14,15006,342
2020/4/15,15907,375
2020/4/16,16876,414
2020/4/17,17849,451
2020/4/18,18704,476
2020/4/19,19260,490
2020/4/20,19751,507
2020/4/21,20574,533
2020/4/22,21321,556
2020/4/23,22650,604
2020/4/24,23642,624
2020/4/25,24153,638
2020/4/26,24967,651
