时间,确证数,死亡数
2020/3/22,162,1
2020/3/23,244,1
2020/3/24,285,1
2020/3/25,326,1
2020/3/26,382,1
2020/3/27,458,1
2020/3/28,588,1
2020/3/29,706,2
2020/3/30,779,4
2020/3/31,866,5
2020/4/1,866,5
2020/4/2,1064,7
2020/4/3,1248,7
2020/4/4,1428,8
2020/4/5,1599,8
2020/4/6,1678,13
2020/4/7,1739,13
2020/4/8,1848,13
2020/4/9,1856,13
2020/4/10,2103,13
2020/4/11,2207,13
2020/4/12,2299,13
2020/4/13,2363,13
2020/4/14,2417,13
2020/4/15,2548,13
2020/4/16,2683,13
2020/4/17,2793,23
2020/4/18,2917,25
2020/4/19,2799,25
2020/4/20,2930,25
2020/4/21,3012,28
2020/4/22,3154,28
2020/4/23,3307,31
2020/4/24,3464,35
2020/4/25,3623,36
2020/4/26,3788,36
