时间,确证数,死亡数
2020/3/19,13,1
2020/3/20,18,2
2020/3/21,49,2
2020/3/22,52,2
2020/3/23,75,2
2020/3/24,95,5
2020/3/25,123,5
2020/3/26,150,5
2020/3/27,178,5
2020/3/28,204,5
2020/3/29,228,5
2020/3/30,228,5
2020/3/31,282,5
2020/4/1,307,5
2020/4/2,333,5
2020/4/3,383,5
2020/4/4,450,5
2020/4/5,499,5
2020/4/6,522,5
2020/4/7,572,5
2020/4/8,572,5
2020/4/9,620,23
2020/4/10,620,23
2020/4/11,700,25
2020/4/12,720,27
2020/4/13,740,28
2020/4/14,713,29
2020/4/15,744,29
2020/4/16,759,33
2020/4/17,769,35
2020/4/18,793,37
2020/4/19,803,37
2020/4/20,805,38
2020/4/21,815,40
2020/4/22,820,40
2020/4/23,822,43
2020/4/24,824,44
2020/4/25,838,46
2020/4/26,846,46
