时间,确证数,死亡数
2020/3/14,37,1
2020/3/15,37,1
2020/3/16,49,2
2020/3/17,67,2
2020/3/18,79,2
2020/3/19,102,2
2020/3/20,123,2
2020/3/21,157,3
2020/3/22,220,6
2020/3/23,254,6
2020/3/24,293,9
2020/3/25,396,9
2020/3/26,466,10
2020/3/27,607,10
2020/3/28,740,13
2020/3/29,890,15
2020/3/30,1020,15
2020/3/31,1249,15
2020/4/1,1483,15
2020/4/2,1706,15
2020/4/3,2012,15
2020/4/4,2407,16
2020/4/5,2637,16
2020/4/6,2878,16
2020/4/7,3335,16
2020/4/8,3645,24
2020/4/9,4042,31
2020/4/10,4509,38
2020/4/11,5077,39
2020/4/12,5274,79
2020/4/13,5747,79
2020/4/14,6182,79
2020/4/15,6500,94
2020/4/16,6889,131
2020/4/17,7491,164
2020/4/18,8053,164
2020/4/19,8542,164
2020/4/20,8990,184
2020/4/21,9630,184
2020/4/22,10266,349
2020/4/23,10998,373
2020/4/24,11594,411
2020/4/25,12366,437
2020/4/26,12970,449
