时间,确证数,死亡数
2020/2/29,7,1
2020/3/1,11,1
2020/3/2,18,6
2020/3/3,27,7
2020/3/4,39,10
2020/3/5,70,11
2020/3/6,78,13
2020/3/7,102,16
2020/3/8,122,18
2020/3/9,122,19
2020/3/10,162,23
2020/3/11,282,24
2020/3/12,406,31
2020/3/13,503,37
2020/3/14,603,39
2020/3/15,603,40
2020/3/16,779,48
2020/3/17,955,55
2020/3/18,1022,67
2020/3/19,1223,73
2020/3/20,1394,83
2020/3/21,1647,94
2020/3/22,1833,97
2020/3/23,2076,109
2020/3/24,2216,116
2020/3/25,2540,133
2020/3/26,3138,150
2020/3/27,3410,157
2020/3/28,4030,188
2020/3/29,4340,198
2020/3/30,4649,205
2020/3/31,5158,225
2020/4/1,5305,234
2020/4/2,6045,271
2020/4/3,6345,291
2020/4/4,6764,315
2020/4/5,7292,336
2020/4/6,7663,381
2020/4/7,8015,400
2020/4/8,8361,426
2020/4/9,8801,456
2020/4/10,9211,483
2020/4/11,9586,495
2020/4/12,9877,506
2020/4/13,10016,513
2020/4/14,10315,530
2020/4/15,10559,552
2020/4/16,10785,579
2020/4/17,11183,603
2020/4/18,11332,613
2020/4/19,11819,636
2020/4/20,11955,643
2020/4/21,12233,664
2020/4/22,12437,686
2020/4/23,12619,711
2020/4/24,12877,722
2020/4/25,13182,737
2020/4/26,13398,749
