时间,确证数,死亡数
2020/3/19,159,4
2020/3/20,219,3
2020/3/21,282,4
2020/3/22,381,4
2020/3/23,425,5
2020/3/24,481,5
2020/3/25,621,7
2020/3/26,728,10
2020/3/27,865,14
2020/3/28,1055,17
2020/3/29,1164,18
2020/3/30,1230,20
2020/3/31,1412,25
2020/4/1,1556,27
2020/4/2,1748,33
2020/4/3,2012,47
2020/4/4,2030,50
2020/4/5,2320,74
2020/4/6,2449,78
2020/4/7,2578,92
2020/4/8,2710,100
2020/4/9,2886,111
2020/4/10,3068,128
2020/4/11,3213,137
2020/4/12,3341,144
2020/4/13,3428,154
2020/4/14,3554,170
2020/4/15,3720,183
2020/4/16,3875,197
2020/4/17,4053,206
2020/4/18,4199,212
2020/4/19,4346,220
2020/4/20,4499,230
2020/4/21,4625,244
2020/4/22,4845,248
2020/4/23,5052,258
2020/4/24,5356,263
2020/4/25,5687,266
2020/4/26,5912,272
